feature,MI,nMI,nMI_source,H_Y_nats,eval_split,perm_macroF1_drop_mean,perm_macroF1_drop_std,perm_macroF1_baseline,rank_nMI,rank_perm_macroF1_drop,nMI_norm,perm_norm,nMI_plus_perm_norm,group_id,group_name
spec_entropy,0.5843135905043113,0.7002502063636832,trainval,0.8344354420666049,test,0.0008274316584228,0.0007204322669682,0.970556108470872,1,14,0.999999999998572,0.0171560343145546,1.0171560343131263,1,Basic Time-Domain & Power Features (18)
env_ac_peak,0.5135368235014988,0.6154302629208169,trainval,0.8344354420666049,test,0.0001166470693241,0.0007227386136902,0.970556108470872,10,40,0.8788719479509973,0.0024185696832423,0.8812905176342397,1,Basic Time-Domain & Power Features (18)
psd_power,0.45240021979562,0.5421632363495765,trainval,0.8344354420666049,test,0.0017797676740499,0.0012584483766939,0.970556108470872,22,7,0.7742421657598534,0.0369018455809809,0.8111440113408344,1,Basic Time-Domain & Power Features (18)
pre_rms,0.4526861634087564,0.542505915481743,trainval,0.8344354420666049,test,-9.386890519771372e-05,0.0009411752966995,0.970556108470872,21,54,0.7747315324591443,-0.0019462854028466,0.7727852470562977,1,Basic Time-Domain & Power Features (18)
meanI,0.3543062580986489,0.4246059554004036,trainval,0.8344354420666049,test,0.0003143431257027,0.0006289711983474,0.970556108470872,29,28,0.6063631992409197,0.0065176155591868,0.6128808148001066,1,Basic Time-Domain & Power Features (18)
mag_std,0.3190974932424555,0.3824112413683706,trainval,0.8344354420666049,test,0.000367021253295,0.0007649595004667,0.970556108470872,32,25,0.5461065743252559,0.0076098480782109,0.5537164224034669,1,Basic Time-Domain & Power Features (18)
ZCR_Q,0.3147632742639914,0.3772170480731652,trainval,0.8344354420666049,test,0.0003526212301801,0.0004734350664358,0.970556108470872,35,26,0.5386889495277271,0.0073112768449572,0.5460002263726843,1,Basic Time-Domain & Power Features (18)
mag_mean,0.3188182663495849,0.3820766116549214,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,33,49,0.5456287026867933,0.0,0.5456287026867933,1,Basic Time-Domain & Power Features (18)
ZCR_I,0.3094771503714733,0.370882077593692,trainval,0.8344354420666049,test,-0.0004094798844688,0.001043160329456,0.970556108470872,36,68,0.5296422253398672,-0.0084901887395247,0.5211520366003425,1,Basic Time-Domain & Power Features (18)
oob_ratio,0.3013180555631647,0.3611040955030687,trainval,0.8344354420666049,test,0.0001773905898941,0.0010694332515736,0.970556108470872,37,37,0.515678670596506,0.003678030706614,0.51935670130312,1,Basic Time-Domain & Power Features (18)
kurt_env,0.2606306018699309,0.3123436382621045,trainval,0.8344354420666049,test,0.0002142782515409,0.0007975496692263,0.970556108470872,43,35,0.4460457639614592,0.0044428624393044,0.4504886264007636,1,Basic Time-Domain & Power Features (18)
PAPR_dB,0.2318597735356373,0.2778642443103827,trainval,0.8344354420666049,test,-2.0501130508066013e-05,0.0007655607522522,0.970556108470872,46,52,0.396807086645361,-0.0004250720828762,0.3963820145624848,1,Basic Time-Domain & Power Features (18)
crest_env,0.2320860815003813,0.2781354551834294,trainval,0.8344354420666049,test,-0.0005427855834513,0.0005025026274025,0.970556108470872,45,71,0.3971943923120807,-0.0112541597850936,0.3859402325269871,1,Basic Time-Domain & Power Features (18)
meanQ,0.223596075328825,0.2679609039317119,trainval,0.8344354420666049,test,-0.0003662524331257,0.0005554655149412,0.970556108470872,47,66,0.3826645126215937,-0.0075939072992088,0.3750706053223849,1,Basic Time-Domain & Power Features (18)
stdI,0.1414183404180808,0.1694778688544641,trainval,0.8344354420666049,test,0.0002995925430893,0.0010883810764363,0.970556108470872,53,29,0.2420247324657007,0.0062117757971964,0.2482365082628971,1,Basic Time-Domain & Power Features (18)
env_ac_lag_s,0.1356344582484598,0.1625463773596921,trainval,0.8344354420666049,test,-0.000977987927492,0.0009155185199473,0.970556108470872,56,74,0.2321261398886895,-0.020277680062731,0.2118484598259584,1,Basic Time-Domain & Power Features (18)
corrIQ,0.0764329356357798,0.0915983811120032,trainval,0.8344354420666049,test,0.0006846857610883,0.0008926283038035,0.970556108470872,63,16,0.1308080744274708,0.0141963294398325,0.1450044038673033,1,Basic Time-Domain & Power Features (18)
stdQ,0.0742675773815759,0.0890033831708312,trainval,0.8344354420666049,test,0.0004425935369325,0.0005167248385885,0.970556108470872,64,20,0.1271022591094806,0.0091767698633725,0.1362790289728531,1,Basic Time-Domain & Power Features (18)
