feature,MI,nMI,nMI_source,H_Y_nats,eval_split,perm_macroF1_drop_mean,perm_macroF1_drop_std,perm_macroF1_baseline,rank_nMI,rank_perm_macroF1_drop,nMI_norm,perm_norm,nMI_plus_perm_norm
stft_centroid_std_Hz,0.4241138476347688,0.5082644219718029,trainval,0.8344354420666049,test,0.04822977403955005,0.00425097874977872,0.970556108470872,25,1,0.7258325914824564,0.9999999999792659,1.7258325914617223
spec_entropy,0.5843135905043113,0.7002502063636832,trainval,0.8344354420666049,test,0.0008274316584228947,0.0007204322669682126,0.970556108470872,1,14,0.9999999999985719,0.01715603431455467,1.0171560343131265
spec_flatness,0.5688098519882239,0.6816702926465835,trainval,0.8344354420666049,test,0.000914405627978454,0.0009139559116496635,0.970556108470872,2,12,0.9734667500998587,0.018959359569249715,0.9924261096691085
bandpower_6,0.5332804116127812,0.6390912762430512,trainval,0.8344354420666049,test,0.0037870751043312056,0.001829252341533506,0.970556108470872,5,3,0.9126613179607104,0.07852151870226791,0.9911828366629782
spec_gini,0.5552616506614643,0.6654339241466964,trainval,0.8344354420666049,test,0.0002413821363985158,0.0007780351789380374,0.970556108470872,3,33,0.9502802256942788,0.0050048365599965165,0.9552850622542753
spec_spread_Hz,0.5320964674907831,0.6376724197775757,trainval,0.8344354420666049,test,0.0005595548806888728,0.0005351629863975929,0.970556108470872,6,19,0.9106351043979306,0.011601855737877127,0.9222369601358077
nb_peak_salience,0.5309653336834133,0.6363168519884507,trainval,0.8344354420666049,test,0.0005798271909129848,0.0012425209035482727,0.970556108470872,7,18,0.908699270924689,0.012022183442648616,0.9207214543673377
bandpower_5,0.5040710424155197,0.604086328316918,trainval,0.8344354420666049,test,0.0025220043038854945,0.0009609937639967284,0.970556108470872,12,5,0.862672117517829,0.05229143934543575,0.9149635568632648
spec_peakiness_ratio,0.5251050067705494,0.6292937479621525,trainval,0.8344354420666049,test,0.00042170787992198424,0.0006398738199921766,0.970556108470872,8,21,0.8986698500655961,0.008743724977177496,0.9074135750427735
nb_peak_count,0.54084871036074,0.6481612394378249,trainval,0.8344354420666049,test,-0.0010126118315609723,0.0009406396473885081,0.970556108470872,4,75,0.9256137785417076,-0.020995574864389802,0.9046182036773177
instf_kurtosis,0.5164595058067636,0.6189328494097446,trainval,0.8344354420666049,test,0.0003485239839105314,0.0005606115585517301,0.970556108470872,9,27,0.883873855065186,0.007226324212456472,0.8911001792776425
spec_peak_power,0.4971097714630235,0.5957438363737958,trainval,0.8344354420666049,test,0.0016483160762344683,0.0020467444386991934,0.970556108470872,13,8,0.8507585302495984,0.034176317617590685,0.884934847867189
env_ac_peak,0.5135368235014988,0.6154302629208169,trainval,0.8344354420666049,test,0.00011664706932410507,0.0007227386136902651,0.970556108470872,10,40,0.8788719479509973,0.002418569683242388,0.8812905176342397
instf_std_Hz,0.5109524669134966,0.612333131066492,trainval,0.8344354420666049,test,-0.00041458817391556437,0.0004326360268383539,0.970556108470872,11,69,0.874449054781992,-0.00859610442228056,0.8658529503597114
spec_symmetry_index,0.49554749757913097,0.5938715838241878,trainval,0.8344354420666049,test,-3.194677496317633e-05,0.0010129395553542936,0.970556108470872,14,53,0.8480848394279595,-0.0006623869922408616,0.8474224524357187
bandpower_4,0.4627185839386774,0.5545289193286004,trainval,0.8344354420666049,test,0.002498300227710093,0.0012319317720142955,0.970556108470872,19,6,0.7919011151848306,0.05179995713041497,0.8437010723152456
bandpower_7,0.4900499620234915,0.5872832544238642,trainval,0.8344354420666049,test,0.00016513394370066826,0.0014935609491878374,0.970556108470872,15,38,0.8386763032498317,0.0034239004222128212,0.8421002036720445
tkeo_env_mean,0.4867131844592658,0.583284409940507,trainval,0.8344354420666049,test,3.747688626043466e-06,0.001250071583362588,0.970556108470872,16,43,0.8329657094549122,7.770487630509174e-05,0.8330434143312173
bandpower_0,0.4851005799633663,0.5813518404275132,trainval,0.8344354420666049,test,7.724416727019622e-05,0.0010881994189042034,0.970556108470872,17,41,0.8302058823310808,0.0016015867543822994,0.8318074690854631
bandpower_2,0.46249013926785554,0.5542551477948122,trainval,0.8344354420666049,test,0.0014331683895753677,0.0008079946737939338,0.970556108470872,20,9,0.7915101527384082,0.029715428240870582,0.8212255809792788
bandpower_1,0.4835034995722409,0.5794378752354667,trainval,0.8344354420666049,test,-0.0005251458797798537,0.0009991283038124996,0.970556108470872,18,70,0.8274726233121614,-0.01088841675555701,0.8165842065566045
psd_power,0.45240021979562006,0.5421632363495765,trainval,0.8344354420666049,test,0.0017797676740499812,0.0012584483766939956,0.970556108470872,22,7,0.7742421657598534,0.036901845580980946,0.8111440113408344
spec_centroid_Hz,0.45108503633368646,0.5405871006827161,trainval,0.8344354420666049,test,0.0003716284852235185,0.0005588082399852202,0.970556108470872,23,24,0.7719913479056997,0.0077053747942311575,0.7796967226999308
pre_rms,0.45268616340875645,0.542505915481743,trainval,0.8344354420666049,test,-9.386890519771373e-05,0.0009411752966995476,0.970556108470872,21,54,0.7747315324591443,-0.0019462854028466268,0.7727852470562977
instf_mean_Hz,0.43824104310154177,0.5251946657684768,trainval,0.8344354420666049,test,0.0008541463467920063,0.0009632493828246874,0.970556108470872,24,13,0.7500100121283804,0.017709938804064632,0.767719950932445
env_p95_over_p50,0.40479805351461917,0.48511608341092977,trainval,0.8344354420666049,test,0.00027102477117083577,0.0009379790051661221,0.970556108470872,27,30,0.6927753522978417,0.005619449324870708,0.6983948016227124
spec_rolloff95_Hz,0.406831220934615,0.48755266186565166,trainval,0.8344354420666049,test,2.368881081606933e-05,0.0003013389189348346,0.970556108470872,26,42,0.6962549349278437,0.0004911657018370548,0.6967461006296808
instf_dZCR_per_s,0.3739168160696311,0.4481075433991273,trainval,0.8344354420666049,test,-0.0001463934449505433,0.0004229445948758633,0.970556108470872,28,56,0.6399249001659807,-0.003035333419299464,0.6368895667466812
strong_bins_mean,0.3239737159789524,0.3882549801295386,trainval,0.8344354420666049,test,0.003179329402946651,0.002924325944240873,0.970556108470872,30,4,0.554451789661222,0.06592047062616493,0.6203722602873869
meanI,0.3543062580986489,0.4246059554004036,trainval,0.8344354420666049,test,0.000314343125702754,0.0006289711983474988,0.970556108470872,29,28,0.6063631992409197,0.006517615559186829,0.6128808148001066
mag_std,0.3190974932424555,0.3824112413683706,trainval,0.8344354420666049,test,0.0003670212532950301,0.0007649595004667043,0.970556108470872,32,25,0.5461065743252559,0.007609848078210991,0.5537164224034669
env_mod_index,0.31916463049383825,0.38249169966148494,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,31,45,0.5462214736746356,0.0,0.5462214736746356
ZCR_Q,0.3147632742639914,0.37721704807316525,trainval,0.8344354420666049,test,0.0003526212301801945,0.0004734350664358081,0.970556108470872,35,26,0.5386889495277271,0.007311276844957265,0.5460002263726843
mag_mean,0.3188182663495849,0.3820766116549214,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,33,49,0.5456287026867933,0.0,0.5456287026867933
spec_peak_freq_Hz,0.31683770727428207,0.37970307983273793,trainval,0.8344354420666049,test,-0.0003474293236919612,0.0005576342440738664,0.970556108470872,34,64,0.5422391544930049,-0.00720362743976063,0.5350355270532442
spec_kurtosis_mean,0.1807856130725347,0.21665620125721402,trainval,0.8344354420666049,test,0.010794272277449179,0.0012723032040493196,0.970556108470872,51,2,0.30939826834464607,0.22380930643327712,0.5332075747779232
ZCR_I,0.3094771503714733,0.370882077593692,trainval,0.8344354420666049,test,-0.0004094798844688996,0.0010431603294560146,0.970556108470872,36,68,0.5296422253398672,-0.00849018873952472,0.5211520366003425
oob_ratio,0.3013180555631647,0.36110409550306877,trainval,0.8344354420666049,test,0.00017739058989419966,0.0010694332515736615,0.970556108470872,37,37,0.515678670596506,0.0036780307066140378,0.51935670130312
env_gini,0.29811467957831206,0.3572651214814009,trainval,0.8344354420666049,test,-7.000942137347365e-07,0.0003155115710951265,0.970556108470872,38,50,0.5101963815707051,-1.4515809531807465e-05,0.5101818657611733
nb_spacing_std_Hz,0.2726941660378439,0.3268007952328532,trainval,0.8344354420666049,test,-0.0003244599334650378,0.0007668582091215378,0.970556108470872,39,61,0.46669146579681076,-0.006727378262071937,0.45996408753473883
kurtI,0.26332186075567865,0.3155688834399489,trainval,0.8344354420666049,test,0.0002452003453963236,0.0005306778948623745,0.970556108470872,42,32,0.4506516107695423,0.005084003611341141,0.45573561438088345
kurt_env,0.2606306018699309,0.31234363826210454,trainval,0.8344354420666049,test,0.0002142782515409003,0.00079754966922638,0.970556108470872,43,35,0.4460457639614592,0.004442862439304443,0.4504886264007636
kurtQ,0.2644332198043693,0.3169007528604737,trainval,0.8344354420666049,test,-0.0003248123074344078,0.0007139527908764818,0.970556108470872,40,62,0.452553601527159,-0.006734684412191441,0.4458189171149676
bandpower_3,0.2539649397960353,0.3043554084508358,trainval,0.8344354420666049,test,0.00039949898753346427,0.0008919059087038444,0.970556108470872,44,22,0.43463808462247083,0.008283244022615124,0.44292132864508593
nb_spacing_med_Hz,0.2639531641778461,0.3163254469682236,trainval,0.8344354420666049,test,-0.0007694762462136185,0.00018926113218837863,0.970556108470872,41,73,0.4517320296275422,-0.01595438215336998,0.43577764747417225
PAPR_dB,0.23185977353563736,0.27786424431038276,trainval,0.8344354420666049,test,-2.0501130508066013e-05,0.0007655607522522602,0.970556108470872,46,52,0.396807086645361,-0.00042507208287621915,0.3963820145624848
crest_env,0.23208608150038135,0.27813545518342947,trainval,0.8344354420666049,test,-0.0005427855834513106,0.0005025026274025152,0.970556108470872,45,71,0.39719439231208076,-0.011254159785093622,0.3859402325269871
cyclo_halfchip_corr,0.22162187031054503,0.26559498690715383,trainval,0.8344354420666049,test,-1.870746291083858e-05,0.0003627450154195894,0.970556108470872,48,51,0.37928583882320865,-0.00038788203517416326,0.3788979567880345
cyclo_2chip_corr,0.22161348385637458,0.2655849364541797,trainval,0.8344354420666049,test,-0.00011200224070210263,0.0007430293389361402,0.970556108470872,49,55,0.3792714861634268,-0.002322263434365974,0.37694922272906084
meanQ,0.22359607532882508,0.2679609039317119,trainval,0.8344354420666049,test,-0.00036625243312572443,0.0005554655149412444,0.970556108470872,47,66,0.38266451262159373,-0.0075939072992088075,0.3750706053223849
stft_centroid_absderiv_med_Hzps,0.21700153924224685,0.2600579125747702,trainval,0.8344354420666049,test,-0.000697791787658908,0.0007452108486148192,0.970556108470872,50,72,0.3713785589937187,-0.014468070845039146,0.35691048814867954
instf_slope_Hzps,0.12864213509420797,0.15416667199035358,trainval,0.8344354420666049,test,0.0014290305284943572,0.0006879810160340994,0.970556108470872,57,10,0.22015940957833172,0.029629633497616516,0.24978904307594824
stdI,0.14141834041808088,0.16947786885446414,trainval,0.8344354420666049,test,0.0002995925430893442,0.0010883810764363727,0.970556108470872,53,29,0.2420247324657007,0.006211775797196488,0.24823650826289717
chirp_curvature_Hzps2,0.13941807769059156,0.1670807238787721,trainval,0.8344354420666049,test,-0.0002719199455555765,0.0010427752667080583,0.970556108470872,55,58,0.2386014632486351,-0.005638009942301512,0.23296345330633358
spec_kurtosis_max,0.13958008257572163,0.16727487297283367,trainval,0.8344354420666049,test,-0.0004073154892239472,0.0009758373566404947,0.970556108470872,54,67,0.23887871999529067,-0.008445311995065319,0.23043340800022535
circularity_phase_rad,0.12755762689391714,0.15286698103091292,trainval,0.8344354420666049,test,0.0005846377249069335,0.0008046550026443015,0.970556108470872,58,17,0.218303371625572,0.01212192543998628,0.23042529706555828
chirp_slope_Hzps,0.14296164114172316,0.17132738368310094,trainval,0.8344354420666049,test,-0.0010668349958392388,0.00046832658581951717,0.970556108470872,52,77,0.24466595243511485,-0.022119842297877616,0.22254611013723724
env_ac_lag_s,0.13563445824845988,0.16254637735969213,trainval,0.8344354420666049,test,-0.0009779879274920856,0.0009155185199473907,0.970556108470872,56,74,0.2321261398886895,-0.020277680062731056,0.21184845982595843
dc_notch_ratio,0.12545155342320347,0.150343030867078,trainval,0.8344354420666049,test,-0.00028434469797805617,0.0010276573487734155,0.970556108470872,59,60,0.21469901686652398,-0.005895625754725458,0.20880339111179852
stft_centroid_zcr_per_s,0.11103431761040916,0.1330651983518533,trainval,0.8344354420666049,test,0.0007302189212725852,0.0007939514551850139,0.970556108470872,60,15,0.1900252183325374,0.01514041763203453,0.20516563596457194
corrIQ,0.0764329356357798,0.09159838111200326,trainval,0.8344354420666049,test,0.0006846857610883327,0.0008926283038035996,0.970556108470872,63,16,0.1308080744274708,0.01419632943983256,0.14500440386730337
stdQ,0.07426757738157597,0.08900338317083122,trainval,0.8344354420666049,test,0.0004425935369325895,0.0005167248385885676,0.970556108470872,64,20,0.1271022591094806,0.009176769863372593,0.13627902897285318
fh_hop_rate_per_s,0.07811863202595015,0.09361854505182284,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,62,46,0.13369299173482463,0.0,0.13369299173482463
cyclo_5chip_corr,0.0855695516755437,0.10254783936743846,trainval,0.8344354420666049,test,-0.0010261099443509725,0.00034276955741411095,0.970556108470872,61,76,0.14644456857758154,-0.021275445816690997,0.12516912276089054
cyclo_chip_corr,0.06138498971938344,0.07356469611040763,trainval,0.8344354420666049,test,0.0002467627677579354,0.0005978575683017031,0.970556108470872,65,31,0.10505487244668642,0.005116399001796384,0.11017127144848281
circularity_mag,0.04583096963862188,0.05492452420898444,trainval,0.8344354420666049,test,0.00015308079801633622,0.000610588448273417,0.970556108470872,66,39,0.07843557018586626,0.0031739895336774914,0.08160955971954376
cumulant_c42_mag,0.042265525197454634,0.05065164189667891,trainval,0.8344354420666049,test,0.00038657710506903034,0.0006194755351687888,0.970556108470872,68,23,0.07233363365879546,0.008015320676062233,0.0803489543348577
cumulant_c40_mag,0.04381854239395988,0.05251280109272045,trainval,0.8344354420666049,test,-0.00036198984953813575,0.0006878679575817025,0.970556108470872,67,65,0.07499148249500454,-0.0075055265495083245,0.06748595594549621
dme_duty,0.03334422668444592,0.03996022340789352,trainval,0.8344354420666049,test,0.00020791313819128464,0.00045641124951377904,0.970556108470872,69,36,0.05706563603221938,0.004310887669025319,0.0613765237012447
dme_ipi_std_s,0.017958675259001966,0.021521946880066124,trainval,0.8344354420666049,test,0.0010933267119983326,0.0002994535031713888,0.970556108470872,71,11,0.030734652677642645,0.022669123663716498,0.05340377634135914
dme_pulse_count,0.019391926328547804,0.023239576545934795,trainval,0.8344354420666049,test,-0.00021191676064524767,0.0003237081988955621,0.970556108470872,70,57,0.03318753259150325,-0.00439389909782855,0.028793633493674697
skewQ,0.012458775222321306,0.014930783850054684,trainval,0.8344354420666049,test,0.0002279128664717911,0.0005985432610227385,0.970556108470872,75,34,0.02132206990350944,0.004725563637933889,0.026047633541443328
dme_ipi_med_s,0.017463909326266513,0.02092901193532062,trainval,0.8344354420666049,test,-0.0002829042862446007,0.00034577457167801496,0.970556108470872,72,59,0.02988790541594072,-0.00586576014241211,0.024022145273528608
chirp_r2,0.016453894458276386,0.019718594907145653,trainval,0.8344354420666049,test,-0.0003304906650449135,0.0007228683992338175,0.970556108470872,74,63,0.028159356081469557,-0.006852419933940548,0.02130693614752901
env_dom_peak_norm,0.003422292133079541,0.004101326430483009,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,76,44,0.00585694426535746,0.0,0.00585694426535746
cep_peak_env,0.0,0.0,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,77,48,0.0,0.0,0.0
env_dom_freq_Hz,0.0,0.0,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,78,47,0.0,0.0,0.0
skewI,0.016740832265602856,0.02006246549660171,trainval,0.8344354420666049,test,-0.0014500356041162732,0.00077253651579677,0.970556108470872,73,78,0.02865042425443197,-0.030065154418868516,-0.0014147301644365472
