feature,nMI,MI,rank_nMI
spec_entropy,0.7002502063636832,0.5843135905043113,1
spec_flatness,0.6816702926465835,0.5688098519882239,2
spec_gini,0.6654339241466964,0.5552616506614643,3
nb_peak_count,0.6481612394378249,0.54084871036074,4
bandpower_6,0.6390912762430512,0.5332804116127812,5
spec_spread_Hz,0.6376724197775757,0.5320964674907831,6
nb_peak_salience,0.6363168519884507,0.5309653336834133,7
spec_peakiness_ratio,0.6292937479621525,0.5251050067705494,8
instf_kurtosis,0.6189328494097446,0.5164595058067636,9
env_ac_peak,0.6154302629208169,0.5135368235014988,10
instf_std_Hz,0.612333131066492,0.5109524669134966,11
bandpower_5,0.604086328316918,0.5040710424155197,12
spec_peak_power,0.5957438363737958,0.4971097714630235,13
spec_symmetry_index,0.5938715838241878,0.4955474975791309,14
bandpower_7,0.5872832544238642,0.4900499620234915,15
tkeo_env_mean,0.583284409940507,0.4867131844592658,16
bandpower_0,0.5813518404275132,0.4851005799633663,17
bandpower_1,0.5794378752354667,0.4835034995722409,18
bandpower_4,0.5545289193286004,0.4627185839386774,19
bandpower_2,0.5542551477948122,0.4624901392678555,20
pre_rms,0.542505915481743,0.4526861634087564,21
psd_power,0.5421632363495765,0.45240021979562,22
spec_centroid_Hz,0.5405871006827161,0.4510850363336864,23
instf_mean_Hz,0.5251946657684768,0.4382410431015417,24
stft_centroid_std_Hz,0.5082644219718029,0.4241138476347688,25
spec_rolloff95_Hz,0.4875526618656516,0.406831220934615,26
env_p95_over_p50,0.4851160834109297,0.4047980535146191,27
instf_dZCR_per_s,0.4481075433991273,0.3739168160696311,28
meanI,0.4246059554004036,0.3543062580986489,29
strong_bins_mean,0.3882549801295386,0.3239737159789524,30
