feature,MI,nMI,nMI_source,H_Y_nats,eval_split,mean_abs_SHAP_global,mean_abs_SHAP_NoJam,mean_abs_SHAP_Chirp,mean_abs_SHAP_NB,mean_abs_SHAP_WB,nMI_norm,SHAP_global_norm,nMI_plus_SHAP_norm
spec_entropy,0.5843135905043113,0.7002502063636832,trainval,0.8344354420666049,test,,,,,,0.9999999999985719,0.0,0.9999999999985719
spec_flatness,0.5688098519882239,0.6816702926465835,trainval,0.8344354420666049,test,,,,,,0.9734667500998587,0.0,0.9734667500998587
spec_gini,0.5552616506614643,0.6654339241466964,trainval,0.8344354420666049,test,,,,,,0.9502802256942788,0.0,0.9502802256942788
nb_peak_count,0.54084871036074,0.6481612394378249,trainval,0.8344354420666049,test,,,,,,0.9256137785417076,0.0,0.9256137785417076
bandpower_6,0.5332804116127812,0.6390912762430512,trainval,0.8344354420666049,test,,,,,,0.9126613179607104,0.0,0.9126613179607104
spec_spread_Hz,0.5320964674907831,0.6376724197775757,trainval,0.8344354420666049,test,,,,,,0.9106351043979306,0.0,0.9106351043979306
nb_peak_salience,0.5309653336834133,0.6363168519884507,trainval,0.8344354420666049,test,,,,,,0.908699270924689,0.0,0.908699270924689
spec_peakiness_ratio,0.5251050067705494,0.6292937479621525,trainval,0.8344354420666049,test,,,,,,0.8986698500655961,0.0,0.8986698500655961
instf_kurtosis,0.5164595058067636,0.6189328494097446,trainval,0.8344354420666049,test,,,,,,0.883873855065186,0.0,0.883873855065186
env_ac_peak,0.5135368235014988,0.6154302629208169,trainval,0.8344354420666049,test,,,,,,0.8788719479509973,0.0,0.8788719479509973
instf_std_Hz,0.5109524669134966,0.612333131066492,trainval,0.8344354420666049,test,,,,,,0.874449054781992,0.0,0.874449054781992
bandpower_5,0.5040710424155197,0.604086328316918,trainval,0.8344354420666049,test,,,,,,0.862672117517829,0.0,0.862672117517829
spec_peak_power,0.4971097714630235,0.5957438363737958,trainval,0.8344354420666049,test,,,,,,0.8507585302495984,0.0,0.8507585302495984
spec_symmetry_index,0.49554749757913097,0.5938715838241878,trainval,0.8344354420666049,test,,,,,,0.8480848394279595,0.0,0.8480848394279595
bandpower_7,0.4900499620234915,0.5872832544238642,trainval,0.8344354420666049,test,,,,,,0.8386763032498317,0.0,0.8386763032498317
tkeo_env_mean,0.4867131844592658,0.583284409940507,trainval,0.8344354420666049,test,,,,,,0.8329657094549122,0.0,0.8329657094549122
bandpower_0,0.4851005799633663,0.5813518404275132,trainval,0.8344354420666049,test,,,,,,0.8302058823310808,0.0,0.8302058823310808
bandpower_1,0.4835034995722409,0.5794378752354667,trainval,0.8344354420666049,test,,,,,,0.8274726233121614,0.0,0.8274726233121614
bandpower_4,0.4627185839386774,0.5545289193286004,trainval,0.8344354420666049,test,,,,,,0.7919011151848306,0.0,0.7919011151848306
bandpower_2,0.46249013926785554,0.5542551477948122,trainval,0.8344354420666049,test,,,,,,0.7915101527384082,0.0,0.7915101527384082
pre_rms,0.45268616340875645,0.542505915481743,trainval,0.8344354420666049,test,,,,,,0.7747315324591443,0.0,0.7747315324591443
psd_power,0.45240021979562006,0.5421632363495765,trainval,0.8344354420666049,test,,,,,,0.7742421657598534,0.0,0.7742421657598534
spec_centroid_Hz,0.45108503633368646,0.5405871006827161,trainval,0.8344354420666049,test,,,,,,0.7719913479056997,0.0,0.7719913479056997
instf_mean_Hz,0.43824104310154177,0.5251946657684768,trainval,0.8344354420666049,test,,,,,,0.7500100121283804,0.0,0.7500100121283804
stft_centroid_std_Hz,0.4241138476347688,0.5082644219718029,trainval,0.8344354420666049,test,,,,,,0.7258325914824564,0.0,0.7258325914824564
spec_rolloff95_Hz,0.406831220934615,0.48755266186565166,trainval,0.8344354420666049,test,,,,,,0.6962549349278437,0.0,0.6962549349278437
env_p95_over_p50,0.40479805351461917,0.48511608341092977,trainval,0.8344354420666049,test,,,,,,0.6927753522978417,0.0,0.6927753522978417
instf_dZCR_per_s,0.3739168160696311,0.4481075433991273,trainval,0.8344354420666049,test,,,,,,0.6399249001659807,0.0,0.6399249001659807
meanI,0.3543062580986489,0.4246059554004036,trainval,0.8344354420666049,test,,,,,,0.6063631992409197,0.0,0.6063631992409197
strong_bins_mean,0.3239737159789524,0.3882549801295386,trainval,0.8344354420666049,test,,,,,,0.554451789661222,0.0,0.554451789661222
env_mod_index,0.31916463049383825,0.38249169966148494,trainval,0.8344354420666049,test,,,,,,0.5462214736746356,0.0,0.5462214736746356
mag_std,0.3190974932424555,0.3824112413683706,trainval,0.8344354420666049,test,,,,,,0.5461065743252559,0.0,0.5461065743252559
mag_mean,0.3188182663495849,0.3820766116549214,trainval,0.8344354420666049,test,,,,,,0.5456287026867933,0.0,0.5456287026867933
spec_peak_freq_Hz,0.31683770727428207,0.37970307983273793,trainval,0.8344354420666049,test,,,,,,0.5422391544930049,0.0,0.5422391544930049
ZCR_Q,0.3147632742639914,0.37721704807316525,trainval,0.8344354420666049,test,,,,,,0.5386889495277271,0.0,0.5386889495277271
ZCR_I,0.3094771503714733,0.370882077593692,trainval,0.8344354420666049,test,,,,,,0.5296422253398672,0.0,0.5296422253398672
oob_ratio,0.3013180555631647,0.36110409550306877,trainval,0.8344354420666049,test,,,,,,0.515678670596506,0.0,0.515678670596506
env_gini,0.29811467957831206,0.3572651214814009,trainval,0.8344354420666049,test,,,,,,0.5101963815707051,0.0,0.5101963815707051
nb_spacing_std_Hz,0.2726941660378439,0.3268007952328532,trainval,0.8344354420666049,test,,,,,,0.46669146579681076,0.0,0.46669146579681076
kurtQ,0.2644332198043693,0.3169007528604737,trainval,0.8344354420666049,test,,,,,,0.452553601527159,0.0,0.452553601527159
nb_spacing_med_Hz,0.2639531641778461,0.3163254469682236,trainval,0.8344354420666049,test,,,,,,0.4517320296275422,0.0,0.4517320296275422
kurtI,0.26332186075567865,0.3155688834399489,trainval,0.8344354420666049,test,,,,,,0.4506516107695423,0.0,0.4506516107695423
kurt_env,0.2606306018699309,0.31234363826210454,trainval,0.8344354420666049,test,,,,,,0.4460457639614592,0.0,0.4460457639614592
bandpower_3,0.2539649397960353,0.3043554084508358,trainval,0.8344354420666049,test,,,,,,0.43463808462247083,0.0,0.43463808462247083
crest_env,0.23208608150038135,0.27813545518342947,trainval,0.8344354420666049,test,,,,,,0.39719439231208076,0.0,0.39719439231208076
PAPR_dB,0.23185977353563736,0.27786424431038276,trainval,0.8344354420666049,test,,,,,,0.396807086645361,0.0,0.396807086645361
meanQ,0.22359607532882508,0.2679609039317119,trainval,0.8344354420666049,test,,,,,,0.38266451262159373,0.0,0.38266451262159373
cyclo_halfchip_corr,0.22162187031054503,0.26559498690715383,trainval,0.8344354420666049,test,,,,,,0.37928583882320865,0.0,0.37928583882320865
cyclo_2chip_corr,0.22161348385637458,0.2655849364541797,trainval,0.8344354420666049,test,,,,,,0.3792714861634268,0.0,0.3792714861634268
stft_centroid_absderiv_med_Hzps,0.21700153924224685,0.2600579125747702,trainval,0.8344354420666049,test,,,,,,0.3713785589937187,0.0,0.3713785589937187
spec_kurtosis_mean,0.1807856130725347,0.21665620125721402,trainval,0.8344354420666049,test,,,,,,0.30939826834464607,0.0,0.30939826834464607
chirp_slope_Hzps,0.14296164114172316,0.17132738368310094,trainval,0.8344354420666049,test,,,,,,0.24466595243511485,0.0,0.24466595243511485
stdI,0.14141834041808088,0.16947786885446414,trainval,0.8344354420666049,test,,,,,,0.2420247324657007,0.0,0.2420247324657007
spec_kurtosis_max,0.13958008257572163,0.16727487297283367,trainval,0.8344354420666049,test,,,,,,0.23887871999529067,0.0,0.23887871999529067
chirp_curvature_Hzps2,0.13941807769059156,0.1670807238787721,trainval,0.8344354420666049,test,,,,,,0.2386014632486351,0.0,0.2386014632486351
env_ac_lag_s,0.13563445824845988,0.16254637735969213,trainval,0.8344354420666049,test,,,,,,0.2321261398886895,0.0,0.2321261398886895
instf_slope_Hzps,0.12864213509420797,0.15416667199035358,trainval,0.8344354420666049,test,,,,,,0.22015940957833172,0.0,0.22015940957833172
circularity_phase_rad,0.12755762689391714,0.15286698103091292,trainval,0.8344354420666049,test,,,,,,0.218303371625572,0.0,0.218303371625572
dc_notch_ratio,0.12545155342320347,0.150343030867078,trainval,0.8344354420666049,test,,,,,,0.21469901686652398,0.0,0.21469901686652398
stft_centroid_zcr_per_s,0.11103431761040916,0.1330651983518533,trainval,0.8344354420666049,test,,,,,,0.1900252183325374,0.0,0.1900252183325374
cyclo_5chip_corr,0.0855695516755437,0.10254783936743846,trainval,0.8344354420666049,test,,,,,,0.14644456857758154,0.0,0.14644456857758154
fh_hop_rate_per_s,0.07811863202595015,0.09361854505182284,trainval,0.8344354420666049,test,,,,,,0.13369299173482463,0.0,0.13369299173482463
corrIQ,0.0764329356357798,0.09159838111200326,trainval,0.8344354420666049,test,,,,,,0.1308080744274708,0.0,0.1308080744274708
stdQ,0.07426757738157597,0.08900338317083122,trainval,0.8344354420666049,test,,,,,,0.1271022591094806,0.0,0.1271022591094806
cyclo_chip_corr,0.06138498971938344,0.07356469611040763,trainval,0.8344354420666049,test,,,,,,0.10505487244668642,0.0,0.10505487244668642
circularity_mag,0.04583096963862188,0.05492452420898444,trainval,0.8344354420666049,test,,,,,,0.07843557018586626,0.0,0.07843557018586626
cumulant_c40_mag,0.04381854239395988,0.05251280109272045,trainval,0.8344354420666049,test,,,,,,0.07499148249500454,0.0,0.07499148249500454
cumulant_c42_mag,0.042265525197454634,0.05065164189667891,trainval,0.8344354420666049,test,,,,,,0.07233363365879546,0.0,0.07233363365879546
dme_duty,0.03334422668444592,0.03996022340789352,trainval,0.8344354420666049,test,,,,,,0.05706563603221938,0.0,0.05706563603221938
dme_pulse_count,0.019391926328547804,0.023239576545934795,trainval,0.8344354420666049,test,,,,,,0.03318753259150325,0.0,0.03318753259150325
dme_ipi_std_s,0.017958675259001966,0.021521946880066124,trainval,0.8344354420666049,test,,,,,,0.030734652677642645,0.0,0.030734652677642645
dme_ipi_med_s,0.017463909326266513,0.02092901193532062,trainval,0.8344354420666049,test,,,,,,0.02988790541594072,0.0,0.02988790541594072
skewI,0.016740832265602856,0.02006246549660171,trainval,0.8344354420666049,test,,,,,,0.02865042425443197,0.0,0.02865042425443197
chirp_r2,0.016453894458276386,0.019718594907145653,trainval,0.8344354420666049,test,,,,,,0.028159356081469557,0.0,0.028159356081469557
skewQ,0.012458775222321306,0.014930783850054684,trainval,0.8344354420666049,test,,,,,,0.02132206990350944,0.0,0.02132206990350944
env_dom_peak_norm,0.003422292133079541,0.004101326430483009,trainval,0.8344354420666049,test,,,,,,0.00585694426535746,0.0,0.00585694426535746
cep_peak_env,0.0,0.0,trainval,0.8344354420666049,test,,,,,,0.0,0.0,0.0
env_dom_freq_Hz,0.0,0.0,trainval,0.8344354420666049,test,,,,,,0.0,0.0,0.0
